Milliseconds,Signal
1,101
2,81
3,63
4,50
5,39
6,31
7,24
8,19
9,15
10,12
11,59
12,235
13,381
14,502
15,601
16,682
17,747
18,800
19,842
20,876
21,903
22,925
23,943
24,958
25,969
26,978
27,961
28,785
29,634
30,509
31,407
32,325
33,259
34,207
35,165
36,132
37,105
38,84
39,67
40,54
41,43
42,34
43,24
44,210
45,362
46,487
47,590
48,673
49,740
50,795
51,838
52,873
53,901
54,924
55,942
56,957
57,969
58,978
59,986
60,829
61,671
62,541
63,432
64,346
65,276
66,220
67,176
68,140
69,112
70,90
71,72
72,57
73,46
74,37
75,30
76,167
77,326
78,458
79,566
80,654
