Milliseconds,Signal
1,433
2,351
3,278
4,221
5,176
6,140
7,112
8,89
9,71
10,57
11,46
12,37
13,30
14,24
15,19
16,16
17,200
18,353
19,480
20,583
21,668
22,516
23,407
24,322
25,255
26,199
27,371
28,498
29,600
30,683
31,748
32,582
33,463
34,367
35,291
36,228
37,400
38,523
39,621
40,700
41,762
42,592
43,471
44,374
45,297
46,233
47,407
48,528
49,626
50,703
51,750
52,591
53,470
54,373
55,297
56,254
57,410
58,531
59,628
60,706
61,748
62,589
63,469
64,372
65,296
66,256
67,412
68,533
69,629
70,707
71,745
72,587
73,468
74,371
75,295
76,259
77,415
78,535
79,631
80,708
